Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Eastern,,Primary Care Clinics,2021-07-01,Visits were completed at Primary Care Clinics,303,
Central,,Primary Care Clinics,2021-07-01,Visits were completed at Primary Care Clinics,533,
Northern,,Primary Care Clinics,2021-07-01,Visits were completed at Primary Care Clinics,562,
Unknown,,VirtualCareNS,2021-06-01,Visits were completed through VirtualCareNS,36,
Central,,Primary Care Clinics,2021-06-01,Visits were completed at Primary Care Clinics,800,
Unknown,,VirtualCareNS,2021-06-01,Nova Scotians have registered for VirtualCareNS,660,
Unknown,,Diabetes Centre,2021-06-01,Visits were completed at Diabetes Centres,4565,
Western,,Primary Care Clinics,2021-06-01,Visits were completed at Primary Care Clinics,597,
Northern,,Primary Care Clinics,2021-06-01,Visits were completed at Primary Care Clinics,554,
Eastern,,Primary Care Clinics,2021-06-01,Visits were completed at Primary Care Clinics,384,
Western,,Primary Care Clinics,2021-05-01,Visits were completed at Primary Care Clinics,1182,
Northern,,Primary Care Clinics,2021-05-01,Visits were completed at Primary Care Clinics,547,
Eastern,,Primary Care Clinics,2021-05-01,Visits were completed at Primary Care Clinics,328,
Central,,Primary Care Clinics,2021-05-01,Visits were completed at Primary Care Clinics,534,
Unknown,,Diabetes Centre,2021-05-01,Visits were completed at Diabetes Centres,4170,
Eastern,,Primary Care Clinics,2021-04-01,Visits were completed at Primary Care Clinics,422,
Northern,,Primary Care Clinics,2021-04-01,Visits were completed at Primary Care Clinics,596,
Western,,Primary Care Clinics,2021-04-01,Visits were completed at Primary Care Clinics,1399,
Central,,Primary Care Clinics,2021-04-01,Visits were completed at Primary Care Clinics,926,
Unknown,,Diabetes Centre,2021-04-01,Visits were completed at Diabetes Centres,4342,
Central,,Primary Care Clinics,2021-03-01,Visits were completed at Primary Care Clinics,823,
Unknown,,Diabetes Centre,2021-03-01,Visits were completed at Diabetes Centres,4628,
Northern,,Primary Care Clinics,2021-03-01,Visits were completed at Primary Care Clinics,486,
Western,,Primary Care Clinics,2021-03-01,Visits were completed at Primary Care Clinics,984,
Eastern,,Primary Care Clinics,2021-03-01,Visits were completed at Primary Care Clinics,208,
Unknown,,Diabetes Centre,2021-02-01,Visits were completed at Diabetes Centres,3785,
Northern,,Primary Care Clinics,2021-02-01,Visits were completed at Primary Care Clinics,593,
Western,,Primary Care Clinics,2021-02-01,Visits were completed at Primary Care Clinics,1024,
Central,,Primary Care Clinics,2021-02-01,Visits were completed at Primary Care Clinics,559,
Eastern,,Primary Care Clinics,2021-02-01,Visits were completed at Primary Care Clinics,308,
Northern,,Primary Care Clinics,2021-01-01,Visits were completed at Primary Care Clinics,436,
Eastern,,Primary Care Clinics,2021-01-01,Visits were completed at Primary Care Clinics,234,
Central,,Primary Care Clinics,2021-01-01,Visits were completed at Primary Care Clinics,363,
Western,,Primary Care Clinics,2021-01-01,Visits were completed at Primary Care Clinics,813,
Unknown,,Diabetes Centre,2021-01-01,Visits were completed at Diabetes Centres,3711,
Northern,,Primary Care Clinics,2020-12-01,Visits were completed at Primary Care Clinics,836,
Western,,Primary Care Clinics,2020-12-01,Visits were completed at Primary Care Clinics,1100,
Eastern,,Primary Care Clinics,2020-12-01,Visits were completed at Primary Care Clinics,333,
Central,,Primary Care Clinics,2020-12-01,Visits were completed at Primary Care Clinics,589,
Unknown,,Diabetes Centre,2020-12-01,Visits were completed at Diabetes Centres,3688,
Unknown,,Diabetes Centre,2020-11-01,Visits were completed at Diabetes Centres,3910,
Unknown,,Diabetes Centre,2020-10-01,Visits were completed at Diabetes Centres,3807,
Unknown,,Diabetes Centre,2020-09-01,Visits were completed at Diabetes Centres,3789,
Unknown,,Diabetes Centre,2020-08-01,Visits were completed at Diabetes Centres,3195,
Unknown,,Diabetes Centre,2020-07-01,Visits were completed at Diabetes Centres,3631,
Northern,,Primary Care Clinics,2020-07-01,Visits were completed at Primary Care Clinics,2,
Unknown,,Diabetes Centre,2020-06-01,Visits were completed at Diabetes Centres,3955,
Unknown,,Diabetes Centre,2020-05-01,Visits were completed at Diabetes Centres,3840,
Northern,,Primary Care Clinics,2020-04-01,Visits were completed at Primary Care Clinics,9,
Unknown,,Diabetes Centre,2020-04-01,Visits were completed at Diabetes Centres,3833,
